aX,aY,aZ,gX,gY,gZ,Result
16500.0,-1832.0,-6092.0,-349.0,-343.0,-118.0,0.0
16340.0,-1944.0,-6092.0,49.0,-235.0,11.0,0.0
16344.0,-1628.0,-6196.0,-240.0,-541.0,-433.0,0.0
16556.0,-1800.0,-6176.0,-46.0,-508.0,-72.0,0.0
16420.0,-1960.0,-6480.0,-151.0,-306.0,-220.0,0.0
16488.0,-1608.0,-6340.0,-378.0,-28.0,-460.0,0.0
16388.0,-1700.0,-6440.0,-420.0,89.0,-321.0,0.0
16420.0,-1524.0,-6080.0,-272.0,522.0,172.0,0.0
16100.0,-2020.0,-5980.0,-376.0,120.0,-92.0,0.0
16556.0,-1788.0,-5820.0,-398.0,-10.0,-179.0,0.0
16320.0,-1808.0,-6072.0,-229.0,-53.0,-61.0,0.0
16220.0,-1376.0,-5768.0,-345.0,19.0,-95.0,0.0
16324.0,-1748.0,-5968.0,-375.0,-400.0,65.0,0.0
16520.0,-1308.0,-5864.0,-161.0,-232.0,173.0,0.0
16336.0,-1600.0,-5992.0,-214.0,-427.0,182.0,0.0
16532.0,-1684.0,-6216.0,-341.0,-564.0,-8.0,0.0
16596.0,-1640.0,-6276.0,-153.0,-373.0,146.0,0.0
16300.0,-1592.0,-6176.0,-285.0,-390.0,189.0,0.0
16444.0,-1848.0,-6372.0,-366.0,-277.0,132.0,0.0
16408.0,-1800.0,-6172.0,-299.0,-285.0,-29.0,0.0
16388.0,-1748.0,-6192.0,-313.0,-264.0,-54.0,0.0
16452.0,-1808.0,-6244.0,-159.0,-143.0,184.0,0.0
16300.0,-1756.0,-6252.0,-168.0,-128.0,46.0,0.0
16308.0,-1848.0,-6136.0,-275.0,-189.0,-87.0,0.0
16432.0,-1804.0,-6112.0,-20.0,-103.0,26.0,0.0
16248.0,-1520.0,-6184.0,20.0,-82.0,56.0,0.0
16348.0,-1840.0,-6456.0,-189.0,-186.0,-170.0,0.0
16400.0,-1852.0,-6192.0,-115.0,136.0,7.0,0.0
16188.0,-1736.0,-6128.0,-163.0,15.0,-29.0,0.0
16304.0,-1640.0,-6248.0,-208.0,-102.0,-131.0,0.0
16448.0,-1896.0,-6148.0,-151.0,-150.0,-106.0,0.0
16360.0,-1652.0,-6224.0,-3.0,5.0,-29.0,0.0
16148.0,-1688.0,-6164.0,-138.0,-232.0,-187.0,0.0
16264.0,-1528.0,-6248.0,-102.0,-304.0,77.0,0.0
16316.0,-1688.0,-6440.0,-145.0,-188.0,-13.0,0.0
16384.0,-1916.0,-6180.0,-217.0,-229.0,-70.0,0.0
16396.0,-1596.0,-6424.0,-251.0,-224.0,-8.0,0.0
16304.0,-1872.0,-6400.0,-165.0,-79.0,7.0,0.0
16236.0,-1620.0,-6032.0,-188.0,-97.0,171.0,0.0
16416.0,-1884.0,-6280.0,-185.0,-131.0,-60.0,0.0
16468.0,-1916.0,-6072.0,15.0,83.0,150.0,0.0
16376.0,-1576.0,-6220.0,-278.0,-182.0,-420.0,0.0
16284.0,-1596.0,-6156.0,-35.0,-98.0,115.0,0.0
16236.0,-1596.0,-6236.0,-210.0,-89.0,59.0,0.0
16324.0,-1656.0,-6164.0,-308.0,-381.0,3.0,0.0
16460.0,-1956.0,-6152.0,-153.0,-175.0,144.0,0.0
16476.0,-1744.0,-6360.0,-347.0,-293.0,65.0,0.0
16336.0,-1828.0,-6260.0,-134.0,-22.0,326.0,0.0
16328.0,-1520.0,-6176.0,-500.0,-260.0,184.0,0.0
16296.0,-1776.0,-6292.0,-627.0,-299.0,332.0,0.0
16324.0,-1888.0,-6368.0,-447.0,-311.0,566.0,0.0
16392.0,-1860.0,-6220.0,-790.0,-382.0,175.0,0.0
16256.0,-1916.0,-6400.0,-535.0,-260.0,567.0,0.0
16400.0,-1844.0,-6688.0,-526.0,-110.0,631.0,0.0
16472.0,-2244.0,-6444.0,-669.0,-294.0,489.0,0.0
16664.0,-1964.0,-6464.0,-376.0,601.0,622.0,0.0
16540.0,-2420.0,-6272.0,-143.0,1097.0,1093.0,0.0
16496.0,-2028.0,-5720.0,-425.0,846.0,110.0,0.0
16264.0,-1712.0,-5236.0,173.0,612.0,1175.0,0.0
16764.0,-2676.0,-5124.0,4.0,316.0,835.0,0.0
16556.0,-3560.0,-5168.0,683.0,63.0,698.0,0.0
16060.0,-2656.0,-4884.0,406.0,-889.0,-459.0,0.0
16132.0,-2448.0,-5880.0,237.0,-2181.0,-675.0,0.0
15728.0,-2132.0,-6108.0,706.0,-3121.0,13.0,0.0
15448.0,-2768.0,-7032.0,355.0,-4429.0,-169.0,0.0
16240.0,-2748.0,-8148.0,-170.0,-4385.0,-343.0,0.0
15548.0,-2580.0,-8432.0,-1657.0,-3150.0,-1608.0,0.0
15524.0,-1672.0,-7896.0,-1579.0,-1966.0,510.0,0.0
15028.0,-2060.0,-8268.0,-1356.0,-2444.0,11.0,0.0
15276.0,-2488.0,-8364.0,-1708.0,-2668.0,976.0,0.0
14948.0,-2396.0,-8676.0,-1689.0,-2893.0,849.0,0.0
15144.0,-2436.0,-8896.0,-1368.0,-3133.0,810.0,0.0
14960.0,-2568.0,-10080.0,-1347.0,-2230.0,45.0,0.0
14848.0,-2288.0,-10124.0,-943.0,-1624.0,379.0,0.0
14976.0,-2236.0,-10184.0,-637.0,-451.0,-231.0,0.0
14808.0,-1968.0,-9792.0,-585.0,-492.0,-31.0,0.0
14808.0,-1972.0,-9888.0,-400.0,-134.0,-187.0,0.0
14592.0,-2208.0,-9708.0,-511.0,-426.0,102.0,0.0
14696.0,-2252.0,-9588.0,-507.0,-365.0,-28.0,0.0
14428.0,-2160.0,-10036.0,-315.0,-297.0,158.0,0.0
14708.0,-2208.0,-9804.0,-318.0,-31.0,108.0,0.0
14900.0,-2276.0,-9796.0,-307.0,124.0,176.0,0.0
14736.0,-2072.0,-9820.0,-432.0,-275.0,133.0,0.0
14740.0,-2368.0,-9996.0,-72.0,-528.0,201.0,0.0
14792.0,-1944.0,-9868.0,-519.0,-727.0,-163.0,0.0
14716.0,-2188.0,-10068.0,-357.0,-474.0,95.0,0.0
14784.0,-1820.0,-9872.0,-437.0,-356.0,-199.0,0.0
14964.0,-2032.0,-10228.0,-205.0,-275.0,-197.0,0.0
14676.0,-2328.0,-9912.0,-285.0,-149.0,-259.0,0.0
14508.0,-1780.0,-10136.0,-407.0,-361.0,-310.0,0.0
14748.0,-2156.0,-10196.0,-429.0,-619.0,-348.0,0.0
14756.0,-2084.0,-10116.0,-551.0,-431.0,-464.0,0.0
14488.0,-1804.0,-10220.0,-465.0,-440.0,-541.0,0.0
14308.0,-1704.0,-10164.0,-429.0,-443.0,-310.0,0.0
14708.0,-1884.0,-10328.0,-272.0,-515.0,-178.0,0.0
14604.0,-1632.0,-10272.0,-190.0,-411.0,-12.0,0.0
14472.0,-1888.0,-10192.0,-298.0,-522.0,-12.0,0.0
14440.0,-1804.0,-10564.0,-316.0,-517.0,-265.0,0.0
14312.0,-1612.0,-10104.0,-195.0,-236.0,-26.0,0.0
14652.0,-1868.0,-10312.0,-259.0,-299.0,-17.0,0.0
14528.0,-1880.0,-10460.0,-311.0,-176.0,-50.0,0.0
14632.0,-1712.0,-10828.0,-461.0,-377.0,-189.0,0.0
14396.0,-1340.0,-10776.0,-570.0,-421.0,-54.0,0.0
14156.0,-1388.0,-10252.0,-289.0,6.0,194.0,0.0
14452.0,-1668.0,-10236.0,-229.0,-309.0,150.0,0.0
14716.0,-1948.0,-10568.0,-218.0,-286.0,-3.0,0.0
14508.0,-1700.0,-10496.0,-516.0,-370.0,-221.0,0.0
