aX,aY,aZ,gX,gY,gZ,Result
-18888.0,-30532.0,3564.0,-15637.0,18516.0,-10241.0,1.0
6104.0,-5320.0,-12316.0,-12185.0,11162.0,-8385.0,1.0
3464.0,-8796.0,-10564.0,26284.0,-26505.0,18371.0,1.0
-20700.0,-30920.0,5076.0,-12602.0,16951.0,-11405.0,1.0
5980.0,-5580.0,-11428.0,-15342.0,14504.0,-7686.0,1.0
6308.0,-8712.0,-12580.0,24963.0,-26744.0,19372.0,1.0
-23804.0,-32228.0,7184.0,-3877.0,9079.0,-14122.0,1.0
5808.0,-5728.0,-11336.0,-23712.0,17850.0,-6555.0,1.0
5740.0,-8396.0,-12792.0,26044.0,-24914.0,14963.0,1.0
-20128.0,-29920.0,4364.0,-5707.0,7768.0,-7621.0,1.0
3988.0,-5940.0,-11400.0,-18752.0,15888.0,-5497.0,1.0
5324.0,-8924.0,-12228.0,26243.0,-24946.0,12464.0,1.0
-19876.0,-29020.0,4936.0,-9579.0,12392.0,-5174.0,1.0
3384.0,-5800.0,-10672.0,-17208.0,14052.0,-7046.0,1.0
4716.0,-10544.0,-12848.0,22610.0,-23312.0,14024.0,1.0
-21208.0,-26344.0,5712.0,-8398.0,10977.0,-11674.0,1.0
5084.0,-5948.0,-11808.0,-18608.0,16405.0,-8304.0,1.0
6084.0,-8728.0,-13004.0,25580.0,-23938.0,13388.0,1.0
-22032.0,-32488.0,5492.0,-6463.0,11337.0,-10440.0,1.0
6596.0,-4356.0,-11960.0,-18436.0,15098.0,-5072.0,1.0
4524.0,-8324.0,-10920.0,28710.0,-28459.0,16437.0,1.0
-21300.0,-32640.0,5680.0,-14259.0,19315.0,-8707.0,1.0
6636.0,-2284.0,-12328.0,-9176.0,11683.0,-11070.0,1.0
2700.0,-7696.0,-8056.0,25717.0,-23702.0,7788.0,1.0
-14104.0,-31020.0,-404.0,-3835.0,9547.0,-7900.0,1.0
1700.0,-11540.0,-8784.0,-17338.0,13426.0,-27778.0,1.0
10516.0,-6508.0,-10796.0,17924.0,-14953.0,10493.0,1.0
-13740.0,-24964.0,5540.0,8108.0,-7744.0,-5148.0,1.0
1964.0,-10980.0,-8384.0,-7030.0,10981.0,-2695.0,1.0
5348.0,-14280.0,-7192.0,10206.0,-10348.0,10438.0,1.0
-11176.0,-18396.0,1052.0,-6465.0,-87.0,5596.0,1.0
684.0,-13816.0,-8528.0,-7509.0,14950.0,-6285.0,1.0
6100.0,-12652.0,-8556.0,11116.0,-11541.0,8783.0,1.0
-12896.0,-19936.0,1524.0,-40.0,-1237.0,-1582.0,1.0
-240.0,-12888.0,-8312.0,-12148.0,15155.0,-7792.0,1.0
7024.0,-12048.0,-8932.0,11248.0,-8569.0,7635.0,1.0
-15204.0,-21176.0,4852.0,2971.0,-4370.0,-2279.0,1.0
508.0,-9348.0,-6764.0,-17935.0,14526.0,-2233.0,1.0
6660.0,-11388.0,-9972.0,12465.0,-12988.0,6368.0,1.0
-13660.0,-15608.0,6688.0,2061.0,-5643.0,1363.0,1.0
-1716.0,-14404.0,-7448.0,-12339.0,16998.0,-7979.0,1.0
7004.0,-13552.0,-10428.0,8297.0,-8031.0,5602.0,1.0
-10960.0,-14060.0,2588.0,5144.0,-11674.0,3490.0,1.0
-2836.0,-15916.0,-8220.0,-14688.0,16271.0,-4651.0,1.0
6620.0,-12692.0,-10360.0,9783.0,-9099.0,4005.0,1.0
-11632.0,-16412.0,3044.0,6152.0,-12933.0,2297.0,1.0
-3368.0,-15344.0,-7920.0,-20026.0,19333.0,-3598.0,1.0
6944.0,-12268.0,-11628.0,8865.0,-8442.0,2158.0,1.0
-9388.0,-13700.0,2816.0,8730.0,-18100.0,11782.0,1.0
-7268.0,-18144.0,-8276.0,-14823.0,19589.0,-4788.0,1.0
3288.0,-12916.0,-8740.0,4985.0,1467.0,-7328.0,1.0
-2996.0,-14732.0,-3556.0,5541.0,-6542.0,2201.0,1.0
-5836.0,-15180.0,-5332.0,1186.0,721.0,-1274.0,1.0
-3360.0,-17108.0,-3932.0,439.0,5763.0,-5419.0,1.0
-296.0,-15100.0,-4704.0,-1015.0,3554.0,-2774.0,1.0
-20.0,-15772.0,-5328.0,-968.0,19.0,-354.0,1.0
-1292.0,-15836.0,-5184.0,-1238.0,-634.0,377.0,1.0
-1724.0,-15548.0,-5396.0,-2994.0,461.0,-1016.0,1.0
-32.0,-15728.0,-5468.0,-3498.0,482.0,-6227.0,1.0
512.0,-15416.0,-6232.0,-6616.0,-1612.0,-4660.0,0.0
664.0,-13628.0,-8144.0,-2928.0,-3366.0,2001.0,0.0
880.0,-13252.0,-7792.0,2337.0,-5431.0,2820.0,0.0
-748.0,-14552.0,-7696.0,4606.0,-7608.0,10169.0,0.0
-5580.0,-15284.0,-4768.0,5496.0,-7690.0,6937.0,0.0
-5464.0,-17784.0,-5432.0,-1623.0,4535.0,-2181.0,0.0
-1336.0,-14636.0,-6596.0,735.0,313.0,-1638.0,0.0
-2920.0,-15968.0,-5596.0,-1023.0,-407.0,1576.0,0.0
-3180.0,-14856.0,-6060.0,-324.0,-722.0,251.0,0.0
-3100.0,-15312.0,-5576.0,-61.0,95.0,206.0,0.0
-2532.0,-14736.0,-5656.0,-566.0,-687.0,-230.0,0.0
-3032.0,-14760.0,-5620.0,-362.0,-1232.0,422.0,0.0
-3324.0,-14832.0,-5996.0,-578.0,-1798.0,263.0,0.0
-3660.0,-15188.0,-5976.0,-696.0,105.0,-251.0,0.0
-2848.0,-14716.0,-6152.0,-183.0,-986.0,48.0,0.0
-3312.0,-15160.0,-5780.0,-564.0,-1152.0,127.0,0.0
-3620.0,-14472.0,-6092.0,-34.0,52.0,214.0,0.0
-3348.0,-14836.0,-6244.0,91.0,-506.0,559.0,0.0
-3440.0,-14836.0,-5976.0,-12.0,371.0,583.0,0.0
-2788.0,-14712.0,-5756.0,1218.0,584.0,687.0,0.0
-2796.0,-15360.0,-5092.0,943.0,-1604.0,1079.0,0.0
-2372.0,-15528.0,-6120.0,180.0,-3676.0,153.0,0.0
-3256.0,-14880.0,-5324.0,274.0,-8885.0,-3245.0,0.0
-4728.0,-16536.0,-4380.0,-567.0,-6270.0,-2579.0,0.0
-3492.0,-14964.0,-5360.0,-2515.0,-4169.0,-693.0,0.0
-3784.0,-14816.0,-5392.0,-1429.0,-6048.0,274.0,0.0
-4960.0,-14792.0,-4868.0,-1837.0,-4277.0,4123.0,0.0
-5600.0,-14696.0,-4832.0,-1381.0,-2615.0,5030.0,0.0
-6808.0,-14288.0,-5024.0,-1208.0,1532.0,5889.0,0.0
-6788.0,-13660.0,-5488.0,844.0,3851.0,4577.0,0.0
-7296.0,-14172.0,-5684.0,2278.0,4744.0,4891.0,0.0
-8012.0,-14076.0,-4760.0,3564.0,6884.0,5296.0,0.0
-6168.0,-14456.0,-5640.0,2060.0,10017.0,5940.0,0.0
-6128.0,-14404.0,-4256.0,1937.0,8591.0,5447.0,0.0
-5256.0,-13544.0,-5332.0,-970.0,5630.0,1769.0,0.0
-5304.0,-14168.0,-5808.0,-3102.0,3630.0,3745.0,0.0
-5508.0,-12792.0,-6752.0,-2333.0,-626.0,3057.0,0.0
-6040.0,-14040.0,-7300.0,-2695.0,-6299.0,-2168.0,0.0
-8092.0,-14676.0,-6944.0,-5651.0,-11078.0,-13062.0,0.0
-9416.0,-14664.0,-6080.0,-7250.0,-9347.0,-18227.0,0.0
-7216.0,-14192.0,-7704.0,-5274.0,-1105.0,-14100.0,0.0
-4404.0,-12988.0,-7676.0,-3617.0,-468.0,-9471.0,0.0
-2056.0,-11488.0,-8172.0,-280.0,-2587.0,-4918.0,0.0
-2696.0,-11652.0,-7984.0,2248.0,-6935.0,1995.0,0.0
-4332.0,-12588.0,-7728.0,1364.0,-8053.0,9282.0,0.0
-8984.0,-13068.0,-6624.0,3685.0,-4140.0,19982.0,0.0
-11212.0,-14896.0,-7376.0,8948.0,7041.0,19654.0,0.0
-11672.0,-13572.0,-4912.0,2606.0,9069.0,8295.0,0.0
-8316.0,-15836.0,-6716.0,-802.0,13119.0,-1890.0,0.0
-5668.0,-11264.0,-6316.0,-1520.0,7998.0,-1448.0,0.0
-3752.0,-11072.0,-7976.0,-1079.0,5472.0,-541.0,0.0
-4684.0,-9916.0,-7780.0,2949.0,1321.0,2577.0,0.0
-5824.0,-11248.0,-6964.0,3928.0,-2488.0,2334.0,0.0
-6700.0,-13416.0,-5812.0,4923.0,-6893.0,461.0,0.0
-8048.0,-12700.0,-5548.0,5817.0,-7900.0,-3245.0,0.0
-8104.0,-14856.0,-5548.0,4813.0,-5633.0,-8685.0,0.0
-7384.0,-15352.0,-4276.0,4323.0,-6191.0,-9558.0,0.0
